Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.87     0.00    13460     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
  0.00      2.87     0.00    12288     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data const&)
  0.00      2.87     0.00    12000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::capacity() const
  0.00      2.87     0.00    10800     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_check_length(unsigned long, unsigned long, char const*) const
  0.00      2.87     0.00    10800     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)
  0.00      2.87     0.00     9640     0.00     0.00  std::char_traits<char>::copy(char*, char const*, unsigned long)
  0.00      2.87     0.00     8661     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00      2.87     0.00     8407     0.00     0.00  std::is_constant_evaluated()
  0.00      2.87     0.00     8200     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      2.87     0.00     7461     0.00     0.00  std::__ptr_traits_ptr_to<char*, char, false>::pointer_to(char&)
  0.00      2.87     0.00     7461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      2.87     0.00     7461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      2.87     0.00     7461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      2.87     0.00     7461     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      2.87     0.00     7461     0.00     0.00  char* std::addressof<char>(char&)
  0.00      2.87     0.00     7201     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
  0.00      2.87     0.00     6001     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct(unsigned long, char)
  0.00      2.87     0.00     6001     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_assign(char*, unsigned long, char)
  0.00      2.87     0.00     6001     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      2.87     0.00     6000     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      2.87     0.00     6000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long)
  0.00      2.87     0.00     6000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.87     0.00     6000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator+=(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.87     0.00     6000     0.00     0.00  std::__cxx11::to_string(int)
  0.00      2.87     0.00     6000     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      2.87     0.00     6000     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      2.87     0.00     5781     0.00     0.00  std::char_traits<char>::assign(char*, unsigned long, char)
  0.00      2.87     0.00     4800     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*)
  0.00      2.87     0.00     4800     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator+=(char const*)
  0.00      2.87     0.00     4352     0.00     0.00  is_open(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int, int)
  0.00      2.87     0.00     4096     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&)
  0.00      2.87     0.00     4096     0.00     0.00  std::vector<int, std::allocator<int> >::swap(std::vector<int, std::allocator<int> >&)
  0.00      2.87     0.00     3602     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00      2.87     0.00     3600     0.00     0.00  RouteRequest&& std::forward<RouteRequest>(std::remove_reference<RouteRequest>::type&)
  0.00      2.87     0.00     2922     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00      2.87     0.00     2920     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.00      2.87     0.00     2661     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.87     0.00     2660     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const
  0.00      2.87     0.00     2400     0.00     0.00  next_open_cell(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, int&)
  0.00      2.87     0.00     2400     0.00     0.00  __gnu_cxx::__normal_iterator<RouteRequest*, std::vector<RouteRequest, std::allocator<RouteRequest> > >::__normal_iterator(RouteRequest* const&)
  0.00      2.87     0.00     2400     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_get_Tp_allocator()
  0.00      2.87     0.00     1461     0.00     0.00  std::__new_allocator<char>::deallocate(char*, unsigned long)
  0.00      2.87     0.00     1461     0.00     0.00  std::__new_allocator<char>::allocate(unsigned long, void const*)
  0.00      2.87     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long)
  0.00      2.87     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long)
  0.00      2.87     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_allocate(std::allocator<char>&, unsigned long)
  0.00      2.87     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data(char*)
  0.00      2.87     0.00     1461     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
  0.00      2.87     0.00     1460     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::end() const
  0.00      2.87     0.00     1460     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::begin() const
  0.00      2.87     0.00     1204     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.87     0.00     1202     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      2.87     0.00     1202     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      2.87     0.00     1200     0.00     0.00  checksum_label(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.87     0.00     1200     0.00     0.00  format_route_label[abi:cxx11](RouteRequest const&, int)
  0.00      2.87     0.00     1200     0.00     0.00  __gnu_cxx::__normal_iterator<RouteRequest*, std::vector<RouteRequest, std::allocator<RouteRequest> > >::operator*() const
  0.00      2.87     0.00     1200     0.00     0.00  __gnu_cxx::__normal_iterator<RouteRequest*, std::vector<RouteRequest, std::allocator<RouteRequest> > >::operator-(long) const
  0.00      2.87     0.00     1200     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Point*>(Point*, Point*)
  0.00      2.87     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_allocate(unsigned long)
  0.00      2.87     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::_Vector_impl(std::allocator<Point> const&)
  0.00      2.87     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::~_Vector_impl()
  0.00      2.87     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_deallocate(Point*, unsigned long)
  0.00      2.87     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_create_storage(unsigned long)
  0.00      2.87     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.87     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_base(unsigned long, std::allocator<Point> const&)
  0.00      2.87     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::~_Vector_base()
  0.00      2.87     0.00     1200     0.00     0.00  std::__new_allocator<Point>::deallocate(Point*, unsigned long)
  0.00      2.87     0.00     1200     0.00     0.00  std::__new_allocator<Point>::allocate(unsigned long, void const*)
  0.00      2.87     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n_1<true>::__uninit_default_n<Point*, unsigned long>(Point*, unsigned long)
  0.00      2.87     0.00     1200     0.00     0.00  RouteRequest& std::vector<RouteRequest, std::allocator<RouteRequest> >::emplace_back<RouteRequest>(RouteRequest&&)
  0.00      2.87     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::end()
  0.00      2.87     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::back()
  0.00      2.87     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::push_back(RouteRequest&&)
  0.00      2.87     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_max_size(std::allocator<Point> const&)
  0.00      2.87     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_check_init_len(unsigned long, std::allocator<Point> const&)
  0.00      2.87     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_M_default_initialize(unsigned long)
  0.00      2.87     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::vector(unsigned long, std::allocator<Point> const&)
  0.00      2.87     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char const*, char const*)
  0.00      2.87     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00      2.87     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      2.87     0.00     1200     0.00     0.00  void std::_Construct<Point>(Point*)
  0.00      2.87     0.00     1200     0.00     0.00  Point* std::__fill_n_a<Point*, unsigned long, Point>(Point*, unsigned long, Point const&, std::random_access_iterator_tag)
  0.00      2.87     0.00     1200     0.00     0.00  Point* std::__addressof<Point>(Point&)
  0.00      2.87     0.00     1200     0.00     0.00  decltype (::new ((void*)(0)) RouteRequest((declval<RouteRequest>)())) std::construct_at<RouteRequest, RouteRequest>(RouteRequest*, RouteRequest&&)
  0.00      2.87     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n<Point*, unsigned long>(Point*, unsigned long)
  0.00      2.87     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n_a<Point*, unsigned long, Point>(Point*, unsigned long, std::allocator<Point>&)
  0.00      2.87     0.00     1200     0.00     0.00  void std::fill<int*, int>(int*, int*, int const&)
  0.00      2.87     0.00     1200     0.00     0.00  std::remove_reference<RouteRequest&>::type&& std::move<RouteRequest&>(RouteRequest&)
  0.00      2.87     0.00     1200     0.00     0.00  Point* std::fill_n<Point*, unsigned long, Point>(Point*, unsigned long, Point const&)
  0.00      2.87     0.00     1200     0.00     0.00  void std::_Destroy<Point*>(Point*, Point*)
  0.00      2.87     0.00     1200     0.00     0.00  void std::__fill_a<Point*, Point>(Point*, Point*, Point const&)
  0.00      2.87     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      2.87     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00      2.87     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      2.87     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      2.87     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      2.87     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      2.87     0.00      522     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      2.87     0.00      520     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      2.87     0.00      261     0.00     0.00  bool __gnu_cxx::operator==<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.00      2.87     0.00      260     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator++()
  0.00      2.87     0.00      260     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<char const>::_Iter_equals_val(char const&)
  0.00      2.87     0.00      260     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<char const> __gnu_cxx::__ops::__iter_equals_val<char const>(char const&)
  0.00      2.87     0.00      260     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator*() const
  0.00      2.87     0.00      260     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char>&&)
  0.00      2.87     0.00      260     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      2.87     0.00      260     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char*, char*)
  0.00      2.87     0.00      260     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.87     0.00      260     0.00     0.00  void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.87     0.00      260     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::difference_type std::__count_if<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_equals_val<char const> >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_equals_val<char const>)
  0.00      2.87     0.00      260     0.00     0.00  void std::destroy_at<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      2.87     0.00      260     0.00     0.00  std::remove_reference<std::allocator<char>&>::type&& std::move<std::allocator<char>&>(std::allocator<char>&)
  0.00      2.87     0.00      260     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::difference_type std::count<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, char>(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, char const&)
  0.00      2.87     0.00      260     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
  0.00      2.87     0.00      260     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
